iter	Accuracy	Logloss
0	0.8533541342	0.6565466777
1	0.8533541342	0.614824338
2	0.8595943838	0.5848245954
3	0.8736349454	0.5606089196
4	0.8751950078	0.5397193815
5	0.879875195	0.5200205825
6	0.8829953198	0.5017139249
7	0.8845553822	0.4851954006
8	0.887675507	0.4688695396
9	0.8845553822	0.4554458964
10	0.8845553822	0.4425297599
11	0.8829953198	0.4304528284
12	0.8814352574	0.4195393209
13	0.8814352574	0.4093883313
14	0.8814352574	0.4000665192
15	0.8845553822	0.3926206943
16	0.8861154446	0.3849884432
17	0.887675507	0.3766541588
18	0.8923556942	0.3684905571
19	0.8923556942	0.3622952261
20	0.8923556942	0.3554166196
21	0.8923556942	0.3495008861
22	0.8907956318	0.3446137665
23	0.8970358814	0.3386756627
24	0.895475819	0.3345773291
25	0.895475819	0.3304812054
26	0.9001560062	0.3257226782
27	0.9017160686	0.3214883901
28	0.903276131	0.3181110354
29	0.9079563183	0.314420904
30	0.9079563183	0.3111317878
31	0.9095163807	0.3074293071
32	0.9079563183	0.3043710537
33	0.9141965679	0.3003219189
34	0.9126365055	0.2969929314
35	0.9173166927	0.2942208643
36	0.9126365055	0.2920794362
37	0.9141965679	0.2892318957
38	0.9157566303	0.2863704092
39	0.9204368175	0.2834630275
40	0.9204368175	0.2806140382
41	0.9204368175	0.2779592244
42	0.9188767551	0.2758368627
43	0.9204368175	0.2740574936
44	0.9235569423	0.2722123256
45	0.9204368175	0.2708537544
46	0.9235569423	0.2685849472
47	0.9251170047	0.2669291891
48	0.9266770671	0.2645650466
49	0.9297971919	0.262365823
50	0.9282371295	0.2599279266
51	0.9282371295	0.2583463608
52	0.9282371295	0.2555449527
53	0.9266770671	0.2537960981
54	0.9313572543	0.2514484308
55	0.9297971919	0.2495593005
56	0.9313572543	0.2474980792
57	0.9329173167	0.2458756097
58	0.9329173167	0.2445267486
59	0.9329173167	0.2430318626
60	0.9329173167	0.2411988973
61	0.9329173167	0.2399762662
62	0.9329173167	0.2387584412
63	0.9329173167	0.2368528386
64	0.9313572543	0.2352612163
65	0.9297971919	0.2345597697
66	0.9313572543	0.233392546
67	0.9329173167	0.2314601128
68	0.9329173167	0.2310851488
69	0.9329173167	0.2307820135
70	0.9329173167	0.2301867009
71	0.9329173167	0.2297041536
72	0.9297971919	0.2292687318
73	0.9329173167	0.2286567546
74	0.9313572543	0.2283158665
75	0.9313572543	0.2276203235
76	0.9313572543	0.227240433
77	0.9313572543	0.2265393033
78	0.9313572543	0.2256581797
79	0.9313572543	0.225583929
80	0.9313572543	0.224021519
81	0.9329173167	0.223713138
82	0.9329173167	0.2235397361
83	0.9313572543	0.2234086083
84	0.9329173167	0.2226142979
85	0.9329173167	0.2222142174
86	0.9344773791	0.2211357257
87	0.9344773791	0.2203901294
88	0.9344773791	0.2201757021
89	0.9344773791	0.219509771
90	0.9329173167	0.2192184329
91	0.9344773791	0.2191275606
92	0.9344773791	0.2189806004
93	0.9344773791	0.218920591
94	0.9344773791	0.2186430789
95	0.9344773791	0.2185734821
96	0.9344773791	0.2184001904
97	0.9344773791	0.2183317937
98	0.9344773791	0.2182307445
99	0.9344773791	0.2180468318
