iter	Passed	Remaining
0	3	354
1	5	256
2	7	254
3	10	247
4	12	242
5	15	238
6	18	246
7	21	244
8	23	233
9	25	231
10	28	228
11	31	227
12	32	214
13	35	215
14	38	219
15	41	217
16	44	216
17	47	216
18	50	214
19	52	211
20	55	208
21	58	207
22	61	204
23	64	202
24	66	199
25	69	196
26	71	194
27	74	190
28	75	184
29	78	182
30	80	179
31	82	176
32	85	173
33	87	170
34	89	166
35	92	164
36	93	159
37	96	156
38	98	153
39	100	150
40	102	148
41	105	145
42	108	144
43	111	141
44	113	138
45	115	136
46	118	133
47	120	130
48	123	128
49	126	126
50	129	124
51	131	121
52	133	118
53	135	115
54	138	113
55	140	110
56	143	108
57	145	105
58	147	102
59	150	100
60	152	97
61	155	95
62	158	92
63	160	90
64	162	87
65	164	84
66	166	82
67	169	79
68	172	77
69	174	74
70	177	72
71	179	69
72	181	67
73	184	64
74	187	62
75	189	59
76	191	57
77	193	54
78	195	52
79	198	49
80	201	47
81	203	44
82	205	42
83	207	39
84	210	37
85	212	34
86	214	32
87	217	29
88	219	27
89	222	24
90	224	22
91	228	19
92	231	17
93	234	14
94	236	12
95	238	9
96	240	7
97	244	4
98	248	2
99	253	0
